Language,Example
English >1B speakers,Why is the sky blue? A) Because the molecules that compose the Earth’s atmosphere have a blue-ish color. B) Because the sky reflects the color of the Earth’s oceans. C) Because the atmosphere preferentially scatters short wavelengths. D) Because the Earth’s atmosphere preferentially absorbs all other colors.
Why is the sky blue?,
A) Because the molecules that compose the Earth’s atmosphere have a blue-ish color.,
B) Because the sky reflects the color of the Earth’s oceans.,
C) Because the atmosphere preferentially scatters short wavelengths.,
D) Because the Earth’s atmosphere preferentially absorbs all other colors.,
\dn aAkAf En \3 0Fw \? kA aAh \? \rs ? \re A) \dn kArZ \9 pLvFQyA vAtAvrZAcF rcnA krZAyA \0 r \? \8 Z \2 cA r \2 g En \3 0FwA asto B) \dn kArZ aAkAfA \8 tn \9 pLvFQyA mhAsAgrA \2 cA r \2 g \3 FEwEtEb \2 Ebt hoto C) \dn kArZ vAtAvrZ \3 FEwA \7 mHyAn \? lhAn tr \2 glA \2 bF Ev \7 Krt \? D) \dn kArZ \9 pLvFc \? vAtAvrZ itr sv \0 r \2 gA \2 nA \3 FEwADA \3 06wyAn \? fo \8 qn G \? t \?,\dn aAkAf En \3 0Fw \? kA aAh \? \rs ? \re
\dn aAkAf En \3 0Fw \? kA aAh \? \rs ? \re,
A) \dn kArZ \9 pLvFQyA vAtAvrZAcF rcnA krZAyA \0 r \? \8 Z \2 cA r \2 g En \3 0FwA asto,
B) \dn kArZ aAkAfA \8 tn \9 pLvFQyA mhAsAgrA \2 cA r \2 g \3 FEwEtEb \2 Ebt hoto,
C) \dn kArZ vAtAvrZ \3 FEwA \7 mHyAn \? lhAn tr \2 glA \2 bF Ev \7 Krt \?,
D) \dn kArZ \9 pLvFc \? vAtAvrZ itr sv \0 r \2 gA \2 nA \3 FEwADA \3 06wyAn \? fo \8 qn G \? t \?,
Latvian 2M speakers,"Kāpēc debesis ir zilas? A) Jo molekulām, kas veido Zemes atmosfēru, ir zilgana krāsa. B) Jo debesis atspoguļo Zemes okeānu krāsu. C) Jo atmosfēra galvenokārt izkliedē īsus viļņu garumus. D) Jo Zemes atmosfēra galvenokārt absorbē visas pārējās krāsas."
Kāpēc debesis ir zilas?,
"A) Jo molekulām, kas veido Zemes atmosfēru, ir zilgana krāsa.",
B) Jo debesis atspoguļo Zemes okeānu krāsu.,
C) Jo atmosfēra galvenokārt izkliedē īsus viļņu garumus.,
D) Jo Zemes atmosfēra galvenokārt absorbē visas pārējās krāsas.,
Welsh 600k speakers,Pam mae’r awyr yn las? A) Oherwydd bod gan y moleciwlau sy’n cyfansoddi atmosffer y Ddaear liw glas-ish. B) Oherwydd bod yr awyr yn adlewyrchu lliw cefnforoedd y Ddaear. C) Oherwydd bod yr atmosffer yn gwasgaru tonfeddi byr yn ffafriol. D) Oherwydd bod atmosffer y Ddaear yn amsugno pob lliw arall yn ffafriol.
Pam mae’r awyr yn las?,
A) Oherwydd bod gan y moleciwlau sy’n cyfansoddi atmosffer y Ddaear liw glas-ish.,
B) Oherwydd bod yr awyr yn adlewyrchu lliw cefnforoedd y Ddaear.,
C) Oherwydd bod yr atmosffer yn gwasgaru tonfeddi byr yn ffafriol.,
D) Oherwydd bod atmosffer y Ddaear yn amsugno pob lliw arall yn ffafriol.,
